Celltype	Platform	Disease
Acinar	Smart-seq	Normal
Acinar	Smart-seq	T2D
Acinar	Smart-seq	T2D
Acinar	Smart-seq	Normal
Acinar	Smart-seq	T2D
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	Normal
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
Alpha	Smart-seq	T2D
