Celltype	Platform
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
