Celltype	Platform
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Acinar	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Alpha	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Delta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Beta	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
Duct	InDrop
